Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index
 Wichita,,,X,,X,X,"N,C, A", KANSAS,", 395951.0",0.0,0.0,0,0.0,0.0
 Topeka,,,X,,X,X,"N, C, A", KANSAS,", 126431.0",0.0,0.0,0,0.0,0.0
 KENTUCKY,,,X,,,,,,4502935.0,0.15,0.0,0,0.0,0.0375
 Louisville,,X,X,,,X,, KENTUCKY,", 629176.0, 0.0",0.0,0.0,0,0.0,0.0
 LOUISIANA ,,,X,,,X11,C11,,4640546.0,0.15,0.0,1,0.33,0.37
 Baton Rouge,,,X,,,,, LOUISIANA ,", 225500.0",0.0,0.0,0,0.0,0.0
 New Orleans,,X,X,X,X,X,"N, C", LOUISIANA ,", 380408.0, 2900.0",0.0,0.0,0,0.0,0.0
 MAINE ,X,X,X,,,,A,,1366949.0,1.0,0.0,0,0.34,0.335
 MARYLAND ,X,X,X,,,,A,,6161707.0,1.0,0.0,0,0.34,0.335
 Baltimore,X,X,X,X,X,X,A, MARYLAND ,", 584548.0, 8116.0, 42239.0",0.0,0.0,0,0.0,0.0
 Montgomery County,X,X,X,,,,"N, C, A", MARYLAND ,1056910.0,0.0,0.0,0,0.0,0.0
 Prince Georges County,X,X,X,,,X,"N, C, A", MARYLAND ,,0.0,0.0,0,0.0,0.0
 MASSACHUSETTS ,X,X,X,,,,"N, C, A",,6984205.0,1.0,0.0,0,1.0,0.5
 Boston,,X,X,X,,,"N, A", MASSACHUSETTS ,", 665945.0",0.0,0.0,0,0.0,0.0
 Cambridge,,X,X,,,X,"N, C, A", MASSACHUSETTS ,", 117962.0",0.0,0.0,0,0.0,0.0
 Worcester,,X,X,X,,X,"N, C, A", MASSACHUSETTS ,", 204191.0",0.0,0.0,0,0.0,0.0
 MICHIGAN,,,X,,,,,,10057921.0,0.15,0.0,0,0.0,0.0375
 Ann Arbor,,,X,,X,X,, MICHIGAN,", 122216.0",0.0,0.0,0,0.0,0.0
 Detroit,,X,X,,,,, MICHIGAN,", 636787.0, 2211.0",0.0,0.0,0,0.0,0.0
 East Lansing,,,X,,,,, MICHIGAN,", 45403.0",0.0,0.0,0,0.0,0.0
 Genesee County,,,X,,X,,, MICHIGAN,405280.0,0.0,0.0,0,0.0,0.0
