Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Total Index
Santa Clara County,,,X,,,,,CALIFORNIA,1916831.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
COLORADO,X,X,X,,,X,A,,5770790.0,1.0,0.0,1,0.1666666,0.7222222,0.7222222,0.7324865370029638
Denver,,,X,,X,X,,COLORADO,710800.0,0.15,0.25,1,0.0,0.4666666666666666,0.010264337002963777,
CONNECTICUT,X,X,X,,,,A,,3611317.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.4386311179405741
Bridgeport,,,X,,,X,"N, A",CONNECTICUT,148470.0,0.15,0.0,1,0.3333332,0.49444439999999995,0.018272187146129795,
Hartford,,X,X,X,X,X,"N, A",CONNECTICUT,50942.0,0.2,0.5,1,0.3333332,0.6777777333333334,0.008620461720234843,
New Haven,,X,X,,X,X,"N, C, A",CONNECTICUT,135736.0,0.2,0.25,1,0.4999998,0.6499999333333334,0.021925332028250817,
Norwich,,,X,,X,,,CONNECTICUT,40054.0,0.15,0.25,0,0.0,0.13333333333333333,0.000924270379291913,
DELAWARE,,,X,,,X,,,993635.0,0.15,0.0,1,0.0,0.3833333333333333,0.3833333333333333,0.3892907523050885
New Castle County,,,X,,,,,DELAWARE,570567.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Wilmington,,,X,,X,,,DELAWARE,71034.0,0.15,0.25,0,0.0,0.13333333333333333,0.005957418971755221,
District of Columbia,X,X,X,,X,X,A,DELAWARE,,1.0,0.25,1,0.1666666,0.8055555333333334,,
FLORIDA,,,,,,,,,21634529.0,0.0,0.0,0,0.0,0.0,0.0,0.1693242286072047
Broward County,,,X,,X,X,"N, C, A",FLORIDA,1940907.0,0.15,0.25,1,0.4999998,0.6333332666666666,0.05681847617788212,
Clearwater,,,X,,,X,,FLORIDA,116984.0,0.15,0.0,1,0.0,0.3833333333333333,0.002072791446796307,
Daytona Beach,,,X,,X,,,FLORIDA,73329.0,0.15,0.25,0,0.0,0.13333333333333333,0.0004519257156002795,
Gainesville,,,X,,,X,,FLORIDA,142414.0,0.15,0.0,1,0.0,0.3833333333333333,0.0025233751718529824,
Fort Myers,,,X,,,,,FLORIDA,88699.0,0.15,0.0,0,0.0,0.049999999999999996,0.0002049940629629607,
Jacksonville,,,X,,X,X,"N, A",FLORIDA,950203.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.025376384923680717,
Miami-Dade County,,,X,,X,X,N,FLORIDA,2688237.0,0.15,0.25,1,0.1666666,0.5222222,0.0648896511803608,
Orlando,,,X,,X,X,"N, C",FLORIDA,307738.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.008218536400793995,
Pompano Beach,,,X,,,,"N, C",FLORIDA,111790.0,0.15,0.0,0,0.3333332,0.16111106666666666,0.0008324935635375592,
Sarasota,,,X,,X,X,,FLORIDA,3701.0,0.15,0.25,1,0.0,0.4666666666666666,7.983225950208267e-05,
St Petersburg,,,X,,,,,FLORIDA,259343.0,0.15,0.0,0,0.0,0.049999999999999996,0.0005993728821182101,
Tamarac,,,X,,,,A,FLORIDA,71578.0,0.15,0.0,0,0.1666666,0.10555553333333334,0.0003492312665985626,
Tampa,,,X,,X,,N,FLORIDA,388768.0,0.15,0.25,0,0.1666666,0.18888886666666668,0.003394293766056413,
Tallahassee,,,X,,,X,,FLORIDA,198259.0,0.15,0.0,1,0.0,0.3833333333333333,0.0035128697894617126,
GEORGIA,,,X,,,,,,10722325.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.1444044282136508
Albany,,,X,,,X,"N, A",GEORGIA,68926.0,0.15,0.0,1,0.3333332,0.49444439999999995,0.002857008597892715,
Atlanta,,,X,,,,"N, C",GEORGIA,494838.0,0.15,0.0,0,0.3333332,0.16111106666666666,0.005127803718615132,
Augusta,,,X,,X,X,,GEORGIA,201615.0,0.15,0.25,1,0.0,0.4666666666666666,0.00783470469324517,
Cherokee County,,,X,,,X,A,GEORGIA,268567.0,0.15,0.0,1,0.1666666,0.43888886666666665,0.009740678094915672,
Columbus,,,X,,X,X,"N, A",GEORGIA,204572.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.010069508848450934,
Fulton County,,,X,X,,X,"N, C",GEORGIA,1061944.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.052271349473825245,
Macon-Bibb County,,,X,,,,"N, C",GEORGIA,168653.0,0.15,0.0,0,0.3333332,0.16111106666666666,0.0017476820303929728,
Savannah,,,X,,,X,,GEORGIA,147583.0,0.15,0.0,1,0.0,0.3833333333333333,0.004588028560347996,
South Fulton,,X,X,,,,,GEORGIA,107865.0,0.2,0.0,0,0.0,0.06666666666666667,0.00016766419596496096,
HAWAII,X,X,X,,X,X,A,,1450589.0,1.0,0.25,1,0.1666666,0.8055555333333334,0.8055555333333334,0.8055555333333334
ILLINOIS,X,X,X,,,X,A,,12757634.0,1.0,0.0,1,0.1666666,0.7222222,0.7222222,0.7340752899975236
Chicago,X,X,X,,,X,A,ILLINOIS,2721914.0,1.0,0.0,1,0.1666666,0.7222222,0.011853089997523573,
INDIANA,,,X,,,,,,6784403.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.09550173390348421
Indianapolis,,X,X,,,X,,INDIANA,882006.0,0.2,0.0,1,0.0,0.39999999999999997,0.04550173390348422,
IOWA,,,,,,,,,3188836.0,0.0,0.0,0,0.0,0.0,0.0,0.06299096063575131
Johnson County,,,X,,,X,,IOWA,153360.0,0.15,0.0,1,0.0,0.3833333333333333,0.01843556708466663,
Linn County,,,X,,,X,,IOWA,229308.0,0.15,0.0,1,0.0,0.3833333333333333,0.027565356136220236,
Waterloo,X,X,X,,X,X,A,IOWA,67256.0,1.0,0.25,1,0.1666666,0.8055555333333334,0.016990037414864444,
KANSAS,,,X,,,,,,2935922.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.1724885964867368
Johnson County,,,X,,X,,,KANSAS,610742.0,0.15,0.25,0,0.0,0.13333333333333333,0.01733532657429818,
Kansas City,,,X,,,X,,KANSAS,11997.0,0.15,0.0,1,0.0,0.3833333333333333,0.0013620934071136765,
Wichita,,,X,,X,X,"N,C, A",KANSAS,395951.0,0.15,0.25,1,0.4999998,0.6333332666666666,0.07867081968456019,
Topeka,,,X,,X,X,"N, C, A",KANSAS,126431.0,0.15,0.25,1,0.4999998,0.6333332666666666,0.025120356820764765,
KENTUCKY,,,X,,,,,,4502935.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.09890401482588579
Louisville,,X,X,,,X,,KENTUCKY,629176.0,0.2,0.0,1,0.0,0.39999999999999997,0.048904014825885786,
LOUISIANA,,,X,,,X11,C11,,4640546.0,0.15,0.0,1,0.1666666,0.43888886666666665,0.43888886666666665,0.46302589823907214
Baton Rouge,,,X,,,,,LOUISIANA,225500.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
New Orleans,,X,X,X,X,X,"N, C",LOUISIANA,380408.0,0.2,0.5,1,0.3333332,0.6777777333333334,0.02413703157240549,
MAINE,X,X,X,,,,A,,1366949.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.3888888666666667
MARYLAND,X,X,X,,,,A,,6161707.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.5478537295354031
Baltimore,X,X,X,X,X,X,A,MARYLAND,584548.0,1.0,0.5,1,0.1666666,0.8888888666666667,0.052704368432146056,
Montgomery County,X,X,X,,,,"N, C, A",MARYLAND,1056910.0,1.0,0.0,0,0.4999998,0.4999999333333333,0.02858811628108899,
Prince Georges County,X,X,X,,,X,"N, C, A",MARYLAND,957189.0,1.0,0.0,1,0.4999998,0.8333332666666666,0.07767237815550139,
MASSACHUSETTS,X,X,X,,,,"N, C, A",,6984205.0,1.0,0.0,0,0.4999998,0.4999999333333333,0.4999999333333333,0.5440395443052047
